duration in sec;user;system;idle;context switch
10;0;0;99;1
30;1;0;99;4501
40;6;3;91;42237
50;14;8;78;91565
60;14;8;78;90976
70;14;8;78;92624
80;14;8;78;92902
90;14;7;79;90381
100;14;8;78;91800
110;14;7;79;89850
120;14;7;79;90475
130;14;7;79;89377
140;13;7;79;87978
150;14;7;79;90071
160;14;8;79;89830
170;14;7;79;89792
180;14;8;79;91057
190;14;8;79;90615
200;14;8;79;90122
210;13;7;79;88184
220;13;7;79;89250
230;14;8;79;90446
240;14;7;79;90753
250;14;8;79;90218
260;13;7;79;88418
270;13;7;80;87630
280;13;7;79;89193
290;14;7;79;89196
300;14;7;79;90387
310;14;7;79;89669
320;14;7;79;90269
330;14;8;79;90631
340;13;7;79;87020
350;14;7;79;89450
360;14;7;79;90051
370;14;8;79;90945
380;14;8;79;90206
390;14;8;79;90578
400;13;7;79;87491
410;14;7;79;89789
420;14;7;79;89300
430;14;8;79;90460
440;14;7;79;89859
450;14;7;79;90252
460;14;7;79;89767
470;13;7;79;88210
480;14;7;79;88755
490;14;7;79;88551
500;14;7;79;89362
510;13;7;79;89245
520;13;7;79;89018
530;13;7;79;87757
540;14;7;79;89250
550;14;7;79;89049
560;14;8;78;90148
570;14;8;79;90847
580;14;7;79;89585
590;14;7;79;90003
600;13;7;80;87061
610;14;7;79;89611
620;14;7;79;90051
630;14;8;79;90041
640;14;7;79;89562
650;13;7;79;89195
660;13;7;80;87314
670;14;7;79;89103
680;13;8;79;89775
690;14;7;79;89612
700;14;8;79;89627
710;14;7;79;90443
720;14;7;79;89989
730;13;7;80;86855
740;14;7;79;89115
750;13;7;80;84542
760;12;6;82;79221
770;13;7;80;83997
780;13;7;79;87711
790;13;7;80;87486
800;13;7;80;85382
810;13;7;79;87740
820;13;7;80;86908
830;13;7;79;88232
840;13;7;80;87677
850;13;7;80;87658
860;13;7;80;86633
870;13;7;80;86278
880;13;7;80;86690
890;13;7;80;87689
900;13;7;80;87873
910;13;7;79;88022
920;13;7;80;87023
930;13;7;80;85476
940;13;7;80;84961
950;13;7;80;87459
960;13;7;80;86675
970;13;7;79;87626
980;13;7;80;87376
990;13;7;80;86605
1000;13;7;80;87118
1010;13;7;80;84197
1020;13;7;80;87845
1030;13;7;80;86359
1040;13;7;80;88072
1050;13;7;80;87107
1060;13;7;80;86759
1070;13;7;80;85973
1080;13;7;80;84908
1090;13;7;80;86820
1100;13;7;80;87543
1110;13;7;80;87030
1120;13;7;80;85942
1130;13;7;80;86891
1140;13;7;80;87299
1150;13;7;80;84892
1160;13;7;80;86204
1170;13;7;80;86692
1180;13;7;80;86052
1190;13;7;80;87153
1200;13;7;80;86952
1210;13;7;80;86419
1220;13;7;80;84175
1230;13;7;80;87284
1240;13;7;79;87449
1250;13;7;80;86620
1260;13;7;80;86421
1270;13;7;80;86123
1280;13;7;80;85819
1290;13;7;80;84242
1300;13;7;80;85292
1310;13;7;80;86233
1320;13;7;80;86726
1330;13;7;80;85448
1340;13;7;80;87099
1350;13;7;80;86031
1360;13;7;80;84474
1370;13;7;79;87227
1380;13;7;79;86855
1390;13;7;80;87220
1400;13;7;80;86183
1410;13;7;80;86423
1420;13;7;80;86578
1430;13;7;80;84461
1440;13;7;80;86679
1450;13;7;80;86362
1460;13;7;80;87370
1470;13;7;80;85310
1480;13;7;80;85284
1490;13;7;80;86907
1500;13;7;80;85027
1510;13;7;80;86076
1520;13;7;80;87415
1530;13;7;80;86682
1540;13;7;80;86435
1550;13;7;80;87312
1560;13;7;80;86312
1570;13;7;80;84601
1580;13;7;80;86803
1590;13;7;80;86811
1600;13;7;79;86533
1610;13;7;80;86067
1620;13;7;80;87619
1630;13;7;80;86991
1640;13;7;80;84979
1650;13;7;79;88145
1660;13;7;80;85900
1670;13;7;80;87570
1680;13;7;80;87006
1690;14;7;79;87788
1700;13;7;80;87617
1710;13;7;81;84757
1720;13;7;80;87469
1730;13;7;80;85752
1740;13;7;79;87993
1750;13;7;80;86707
1760;13;7;80;86975
1770;13;7;80;87089
1780;13;7;80;84091
1790;13;7;80;87200
1800;13;7;80;86453
1810;13;7;80;86041
1820;13;7;80;87049
1830;13;7;80;87110
1840;13;7;80;86889
1850;13;7;81;83527
1860;13;7;80;86578
1870;13;7;80;87073
1880;13;7;80;85699
1890;13;7;80;85804
1900;13;7;80;86506
1910;13;7;80;87297
1920;13;7;80;83943
1930;13;7;80;86286
1940;13;7;80;87347
1950;13;7;80;86858
1960;13;7;80;86986
1970;13;7;80;87496
1980;13;7;80;85501
1990;13;7;80;85513
2000;13;7;80;87436
2010;13;7;80;86865
2020;13;7;80;85733
2030;13;7;80;87051
2040;13;7;80;86883
2050;13;7;80;86388
2060;13;7;80;85154
2070;13;7;80;87798
2080;13;7;80;86235
2090;13;7;80;87231
2100;13;7;80;86344
2110;13;7;80;86190
2120;13;7;80;86500
2130;13;7;80;84948
2140;13;7;79;87826
2150;13;7;80;86495
2160;13;7;80;86780
2170;13;7;80;86520
2180;13;7;80;85160
2190;13;7;79;87599
2200;13;7;80;84030
2210;13;7;80;87359
2220;13;7;80;87520
2230;13;7;80;86686
2240;13;7;80;86830
2250;13;7;80;86685
2260;13;7;80;87673
2270;13;7;80;85320
2280;13;7;80;86795
2290;13;7;80;87410
2300;13;7;80;87034
2310;13;7;80;87680
2320;13;7;80;86155
2330;13;7;80;87354
2340;13;7;80;85606
2350;13;7;80;85233
2360;13;7;80;86892
2370;13;7;80;86423
2380;13;7;80;85646
2390;13;7;80;86612
2400;13;7;80;86836
2410;13;7;80;86170
2420;13;7;80;85136
2430;13;7;80;86910
2440;13;7;80;86966
