duration in sec;user;system;idle;context switch
10;1;0;99;0
40;1;0;99;5269
50;6;3;91;38506
60;11;7;83;72054
70;11;7;83;71371
80;11;7;83;71529
90;10;7;83;71580
100;10;7;83;70239
110;10;7;83;69783
120;10;7;83;70433
130;10;7;83;69842
140;11;7;83;71393
150;10;6;84;68847
160;10;7;83;71125
170;10;7;83;69760
180;10;7;83;70471
190;10;7;83;71032
200;10;7;83;71199
210;10;6;84;68084
220;10;7;83;70814
230;10;7;83;71918
240;10;7;83;70752
250;10;7;83;70642
260;10;7;83;70011
270;10;7;83;69975
280;10;7;83;70894
290;10;7;83;70983
300;10;6;83;69252
310;10;7;83;71049
320;11;6;83;70430
330;11;7;83;71372
340;10;7;83;70323
350;11;7;82;72698
360;11;7;82;73049
370;11;7;82;71564
380;10;7;83;72324
390;10;7;83;72652
400;10;7;83;70292
410;11;7;83;72535
420;11;7;82;73042
430;11;7;83;71902
440;10;7;83;72974
450;11;7;82;71344
460;11;7;83;71558
470;10;7;83;70666
480;11;7;82;72782
490;11;7;83;72021
500;11;7;83;72175
510;10;7;83;72105
520;11;7;82;72657
530;10;7;83;70675
540;11;7;83;72437
550;10;7;83;72474
560;11;7;83;72190
570;11;7;83;72353
580;10;7;83;71885
590;11;7;82;73121
600;10;7;83;70389
610;10;7;83;72108
620;11;7;83;72233
630;11;7;83;71951
640;11;7;83;72068
650;10;7;83;71391
660;11;7;83;71940
670;10;7;83;70756
680;10;7;83;72451
690;11;7;83;72360
700;11;7;83;72392
710;11;7;83;72337
720;10;7;83;71444
730;10;6;84;68780
740;10;6;84;69439
750;10;7;83;70126
760;10;7;83;69548
770;10;6;83;69685
780;10;7;83;69911
790;10;7;83;71257
800;10;6;84;67655
810;10;7;83;70879
820;10;7;83;70666
830;10;7;83;70961
840;10;7;83;70498
850;10;7;83;70970
860;10;7;83;70711
870;10;6;84;68056
880;10;6;84;69714
890;10;6;84;69865
900;10;7;83;70113
910;10;7;83;70599
920;10;7;83;70273
930;10;6;84;68147
940;10;7;83;69946
950;10;7;83;70202
960;10;7;83;70673
970;10;7;83;70611
980;9;6;85;64082
990;9;6;85;62449
1000;10;6;84;68779
1010;10;6;84;68237
1020;10;7;83;70644
1030;10;6;84;69704
1040;10;7;83;70018
1050;10;7;83;70261
1060;10;6;84;69479
1070;10;7;83;69803
1080;10;6;84;68267
1090;10;7;83;70502
1100;10;7;83;70286
1110;10;6;83;70357
1120;10;7;84;70032
1130;10;6;84;69882
1140;10;6;84;69800
1150;10;6;84;69046
1160;10;7;83;70659
1170;10;7;83;69671
1180;10;7;83;70325
1190;10;7;83;70026
1200;10;7;83;70633
1210;10;7;83;70208
1220;10;6;84;68110
1230;10;6;83;70254
1240;10;7;83;70008
1250;10;6;83;69822
1260;10;6;84;69252
1270;10;7;83;70989
1280;10;7;83;70455
1290;10;6;84;68467
1300;10;6;83;69321
1310;9;6;84;67094
1320;10;6;84;67830
1330;10;6;84;67288
1340;9;6;85;65817
1350;9;6;84;65968
1360;10;6;84;68233
1370;10;6;84;68609
1380;10;6;84;67238
1390;10;6;84;67601
1400;10;6;84;67123
1410;10;6;84;67646
1420;9;6;85;65158
1430;10;6;84;67474
1440;10;6;84;67942
1450;10;6;84;69124
1460;10;7;84;69512
1470;10;6;84;68174
1480;9;6;85;66356
1490;10;6;84;66502
1500;10;6;84;69104
1510;10;6;84;67072
1520;10;6;84;68297
1530;10;6;84;67641
1540;10;6;84;68265
1550;10;6;84;68172
1560;9;6;85;64968
1570;10;6;84;66470
1580;10;6;84;66061
1590;10;6;84;67809
1600;10;6;84;68187
1610;10;6;84;68402
1620;10;6;84;66167
1630;9;6;84;66856
1640;10;6;84;66870
1650;10;6;84;65785
1660;9;6;85;65674
1670;9;6;85;64311
1680;10;6;84;67318
1690;10;6;84;65717
1700;10;6;84;66740
1710;10;6;84;68039
1720;10;6;84;68302
1730;10;6;84;66696
1740;10;6;84;65980
1750;10;6;84;68165
1760;10;6;84;65890
1770;10;6;84;67759
1780;10;6;84;64308
1790;10;6;84;66648
1800;10;6;84;67320
1810;10;6;84;66843
1820;10;6;84;66237
1830;10;6;84;67730
1840;10;6;83;68551
1850;10;6;83;67918
1860;10;6;84;67389
1870;10;6;84;66272
1880;10;6;84;67634
1890;10;6;84;65114
1900;10;7;83;68703
1910;10;6;84;67187
1920;10;6;84;66983
1930;10;6;84;66793
1940;10;6;84;67342
1950;10;6;84;67104
1960;10;6;84;65236
1970;10;6;84;67369
1980;10;6;84;67025
1990;10;6;84;66912
2000;10;6;84;65889
2010;10;6;84;65905
2020;10;6;84;66645
2030;10;6;84;65772
2040;10;6;84;67067
2050;10;6;84;66718
2060;10;6;84;66709
2070;10;6;84;66673
2080;10;6;84;66782
2090;10;6;83;68770
2100;10;6;84;65171
2110;10;6;84;67695
2120;10;6;84;67663
2130;10;6;84;67985
2140;10;7;84;68152
2150;10;6;83;67608
2160;10;6;84;67690
2170;10;6;84;65076
2180;10;6;84;67171
2190;10;6;84;66082
2200;10;6;84;67358
2210;10;6;84;67119
2220;10;6;84;66849
2230;10;6;84;65481
2240;10;6;84;67101
2250;10;6;84;67920
2260;10;6;84;66980
2270;10;6;84;66713
2280;10;6;84;67918
2290;10;6;84;66818
2300;10;6;84;65945
2310;10;6;84;67327
2320;10;6;83;67848
2330;10;6;84;67403
2340;10;6;84;68147
2350;10;6;84;67047
2360;10;6;84;67928
2370;10;6;84;65467
2380;10;6;84;65673
2390;10;6;84;67225
2400;10;6;84;66749
2410;10;6;84;65056
2420;10;6;84;66449
2430;10;6;84;66472
2440;9;6;85;62984
2450;10;6;84;66720
2460;10;7;84;68307
2470;10;6;84;67717
2480;10;6;84;66949
2490;10;7;83;68119
2500;9;6;84;64172
2510;10;6;84;66620
2520;10;6;83;67891
2530;10;6;84;68198
2540;10;6;84;67348
2550;10;7;83;68101
2560;10;6;84;66402
2570;10;6;84;66490
2580;10;6;84;65833
2590;10;7;83;69718
2600;10;7;83;69215
2610;10;6;83;69578
2620;10;7;83;70340
2630;10;6;83;69987
2640;10;6;83;69869
2650;10;6;84;67755
2660;10;7;83;70063
2670;10;6;83;68442
2680;10;6;83;69597
2690;10;6;84;68821
2700;10;7;83;69365
2710;10;6;83;69190
2720;10;6;84;68801
2730;10;7;83;69532
2740;10;7;83;69857
2750;10;7;83;70114
2760;10;7;83;70226
2770;10;7;83;69880
2780;9;6;85;63651
2790;9;6;86;59607
2800;10;6;84;67237
2810;10;7;83;69667
2820;10;7;83;69858
2830;10;7;83;69951
2840;10;7;83;69327
2850;10;7;83;69569
2860;10;7;83;67377
2870;10;7;83;70173
2880;10;7;83;69985
2890;10;7;83;69944
2900;10;7;83;69009
2910;10;7;83;68665
2920;10;7;83;69584
2930;10;7;83;68181
2940;10;7;83;69675
2950;10;6;83;68574
2960;10;6;83;68964
2970;10;7;83;69434
2980;10;7;83;69172
2990;10;7;83;69375
3000;10;6;84;67582
3010;10;7;83;70174
3020;10;7;83;69606
3030;10;7;83;70841
3040;10;6;83;67683
3050;10;7;83;69854
3060;10;7;83;68968
3070;10;7;83;67985
3080;10;7;83;69712
3090;10;7;83;69101
3100;10;7;83;69754
3110;10;7;83;69243
3120;10;7;83;68789
3130;10;7;83;70128
3140;10;6;84;68059
3150;10;7;83;70321
3160;10;7;83;69539
3170;10;7;83;70010
3180;10;7;83;68738
3190;10;7;83;69408
3200;10;7;83;69800
3210;10;6;84;68129
3220;10;7;83;70053
3230;10;7;83;69025
3240;10;7;83;69295
3250;11;7;83;69674
3260;10;7;83;69730
3270;10;7;83;69925
3280;10;7;83;67570
3290;10;7;83;69413
3300;10;6;83;68830
3310;10;7;83;68944
3320;10;7;83;69916
3330;10;6;83;69482
3340;10;7;83;69947
3350;10;6;84;66602
3360;10;7;83;69676
3370;10;7;83;69917
3380;10;7;83;69274
3390;10;7;83;69930
3400;10;6;83;68000
3410;11;7;83;70126
3420;10;6;84;67924
3430;10;7;83;69240
3440;10;7;83;69371
3450;10;7;83;69746
3460;10;7;83;69933
3470;10;7;83;69656
3480;10;6;83;69670
3490;10;6;84;67797
3500;11;7;83;70809
3510;10;7;83;70678
3520;10;7;83;69927
3530;10;7;83;70226
3540;10;7;83;69757
3550;10;7;83;69410
3560;10;6;84;67862
3570;10;7;83;69361
3580;10;7;83;70069
3590;10;7;83;69378
3600;10;6;83;69390
3610;10;7;83;69856
3620;10;6;83;69031
3630;10;6;84;67595
3640;10;7;84;68927
3650;3;2;95;21835
