duration in sec;user;system;idle;context switch
10;1;0;99;0
30;3;1;97;8326
40;16;4;81;42904
50;32;7;61;69864
60;32;7;61;70618
70;32;7;61;68838
80;32;7;61;70961
90;32;7;61;70335
100;32;7;62;69581
110;31;7;62;70103
120;31;7;62;68907
130;31;7;62;70165
140;31;6;63;68622
150;31;7;62;69776
160;32;7;62;70045
170;31;7;62;70025
180;32;6;62;69654
190;32;7;61;70540
200;32;7;62;69837
210;31;6;63;68529
220;32;7;62;70249
230;32;7;62;70309
240;32;7;62;68930
250;32;7;61;69913
260;32;7;61;70883
270;31;7;62;70264
280;30;6;63;68385
290;31;7;62;70414
300;32;7;61;70489
310;32;6;62;69277
320;31;7;62;70228
330;31;7;63;69245
340;32;7;62;69516
350;31;6;63;68259
360;32;7;62;69306
370;32;7;61;69448
380;32;7;62;70616
390;32;7;62;69111
400;31;7;62;69686
410;32;7;62;69651
420;31;6;63;68686
430;32;7;62;69210
440;31;7;62;70019
450;32;6;62;69295
460;32;6;62;69807
470;31;7;62;69299
480;31;6;62;68672
490;31;6;63;68013
500;31;7;62;69654
510;31;7;62;69188
520;32;6;62;69390
530;31;7;62;70185
540;31;7;62;69320
550;32;7;62;69497
560;31;6;63;68502
570;31;7;62;69869
580;32;6;62;69276
590;32;6;62;70016
600;32;6;62;70965
610;31;7;62;69529
620;31;7;62;69965
630;31;7;62;70355
640;30;6;63;68018
650;31;7;62;69365
660;31;6;62;69426
670;32;7;61;69556
680;31;6;63;69397
690;32;6;62;70007
700;31;6;62;70682
710;30;6;63;67794
720;31;6;62;69743
730;32;7;62;70080
740;31;7;62;69665
750;31;7;62;69427
760;31;7;62;70293
770;31;6;62;70119
780;30;6;63;68464
790;31;7;62;69974
800;30;6;63;68066
810;30;6;64;68130
820;30;6;64;67453
830;30;6;64;66552
840;30;6;64;67295
850;29;6;65;66163
860;30;6;64;67515
870;30;6;64;68047
880;30;6;64;68424
890;30;6;64;67546
900;30;6;64;67020
910;29;6;64;67842
920;30;6;64;66569
930;29;6;65;66116
940;29;6;64;67513
950;30;6;64;67832
960;30;6;64;67997
970;30;6;64;67275
980;29;6;65;66906
990;30;6;64;67800
1000;28;6;66;66275
1010;30;6;64;68367
1020;30;6;64;68226
1030;30;6;64;68313
1040;30;6;64;68217
1050;30;6;64;68483
1060;30;6;64;68081
1070;30;6;63;68459
1080;29;6;65;65954
1090;30;6;64;68181
1100;30;6;64;67737
1110;30;6;64;68327
1120;29;6;64;67701
1130;30;6;64;66818
1140;30;6;64;67558
1150;30;6;63;67026
1160;29;6;64;66941
1170;30;6;64;67363
1180;30;6;64;67347
1190;29;6;65;66410
1200;30;6;64;67626
1210;30;6;64;68141
1220;30;6;63;68558
1230;29;6;64;66992
1240;30;6;64;67613
1250;30;6;64;67601
1260;30;6;64;68322
1270;30;6;64;67428
1280;30;6;64;67337
1290;30;6;64;67008
1300;29;6;65;66254
1310;30;6;64;67074
1320;30;6;64;67507
1330;30;6;64;67094
1340;30;6;64;67672
1350;30;6;63;68399
1360;30;6;64;68292
1370;29;6;64;67740
1380;29;6;65;65095
1390;28;6;66;66024
1400;26;6;68;62493
1410;27;6;67;64444
1420;30;6;64;68457
1430;30;6;64;68754
1440;30;6;64;68042
1450;30;6;64;67955
1460;29;6;65;65932
1470;30;6;64;67260
1480;31;7;62;67463
1490;30;6;63;67457
1500;30;6;64;67921
1510;30;6;64;67769
1520;30;6;64;68573
1530;30;6;64;67946
1540;29;6;64;66643
1550;30;6;64;67801
1560;30;6;64;67756
1570;30;6;63;68342
1580;30;6;64;68388
1590;30;6;64;68012
1600;30;6;64;68198
1610;29;6;65;66754
1620;30;6;63;68251
1630;30;6;64;67475
1640;30;6;64;67981
1650;30;6;64;67859
1660;30;6;64;67457
1670;30;6;64;67337
1680;30;6;64;67636
1690;29;6;65;66054
1700;30;6;64;67861
1710;30;6;64;66523
1720;30;6;64;67845
1730;29;6;64;67436
1740;30;6;64;67123
1750;30;6;64;66929
1760;29;6;64;67524
1770;30;6;64;68129
1780;30;6;64;68138
1790;30;6;64;67283
1800;30;6;64;67976
1810;30;6;64;67467
1820;30;6;64;67580
1830;30;6;64;68101
1840;29;6;65;66772
1850;30;6;64;67254
1860;30;6;64;68761
1870;30;6;64;67507
1880;30;6;63;68206
1890;30;6;63;67621
1900;30;6;64;67788
1910;30;6;64;67561
1920;30;6;64;67829
1930;30;6;64;67369
1940;30;6;64;67912
1950;30;6;63;68651
1960;30;6;64;68810
1970;30;6;64;68431
1980;30;6;63;69057
1990;29;6;65;66267
2000;29;6;64;67203
2010;30;6;63;68291
2020;30;6;64;67641
2030;30;6;64;67723
2040;30;6;64;67133
2050;30;6;63;67810
2060;30;6;63;68683
2070;29;6;65;66201
2080;30;6;63;67756
2090;30;6;63;67581
2100;30;6;64;68184
2110;30;6;64;68625
2120;31;6;63;68555
2130;30;6;64;68484
2140;30;6;64;67878
2150;29;6;65;66282
2160;31;6;63;67789
2170;30;6;64;67580
2180;30;6;64;68053
2190;30;6;64;68017
2200;30;6;64;67512
2210;30;6;63;67970
2220;30;6;64;66236
2230;30;6;64;66956
2240;31;6;63;67631
2250;30;6;64;68397
2260;30;6;64;68094
2270;30;6;64;67986
2280;30;6;64;67845
2290;30;6;64;68570
2300;29;6;65;66002
2310;30;7;63;68579
2320;30;6;63;67856
2330;30;6;64;66979
2340;30;6;64;67300
2350;30;6;64;67120
2360;30;6;64;67819
2370;30;6;64;67800
2380;29;6;65;65726
2390;30;6;63;67953
2400;31;6;63;68659
2410;30;6;64;67645
2420;30;6;64;67866
2430;30;6;64;67984
2440;30;6;64;67788
2450;29;6;64;66807
2460;30;6;64;67084
2470;30;6;64;67618
2480;30;6;63;67842
2490;30;6;64;68351
2500;30;6;64;68560
2510;30;6;64;67631
2520;30;6;63;68842
2530;29;6;64;66892
2540;31;6;63;68397
2550;30;6;63;68995
2560;30;6;64;67516
2570;30;6;64;67008
2580;30;6;63;69262
2590;30;6;63;67826
2600;30;6;64;68032
2610;29;6;64;66747
2620;30;6;64;68500
2630;31;6;63;67187
2640;30;6;64;68091
2650;30;6;64;67961
2660;30;6;64;68198
2670;30;6;64;68394
2680;29;6;65;66848
2690;29;6;64;66690
2700;30;6;63;69536
2710;30;6;63;68273
2720;30;6;64;68480
2730;30;6;64;68440
2740;30;6;64;67358
2750;30;6;63;67607
2760;29;6;65;66940
2770;31;6;63;68547
2780;30;6;64;67684
2790;30;6;63;67982
2800;30;6;64;67885
2810;30;6;64;67868
2820;30;6;64;67651
2830;29;6;64;66475
2840;29;6;65;64891
2850;29;6;64;65842
2860;29;6;65;66119
2870;29;6;65;65528
2880;29;6;65;65233
2890;29;6;64;66829
2900;29;6;65;65545
2910;28;6;66;63801
2920;29;6;65;65913
2930;29;6;65;65665
2940;30;6;64;66385
2950;29;6;65;65965
2960;29;6;64;65524
2970;29;6;65;65650
2980;28;6;66;63811
2990;29;6;65;64621
3000;30;6;63;67378
3010;29;6;65;66510
3020;29;6;65;65335
3030;29;6;65;66150
3040;30;6;64;66801
3050;28;6;66;64742
3060;29;6;65;66311
3070;29;6;64;66983
3080;29;6;65;64285
3090;29;6;65;64412
3100;29;6;65;64128
3110;29;6;65;64121
3120;28;6;66;62710
3130;29;6;65;64243
3140;30;6;64;64892
3150;28;6;66;63535
3160;28;6;66;64422
3170;28;6;66;63622
3180;27;6;68;61252
3190;25;5;69;59187
3200;25;5;70;58710
3210;26;5;68;61374
3220;28;6;67;63439
3230;27;6;67;61860
3240;28;6;67;63289
3250;27;6;67;60727
3260;27;6;67;62478
3270;28;6;66;63267
3280;30;7;64;63930
3290;27;6;68;61669
3300;29;6;65;64110
3310;27;6;67;62265
3320;28;6;67;62477
3330;28;6;66;62601
3340;28;6;66;63839
3350;29;6;66;63127
3360;28;6;66;63193
3370;27;6;68;61854
3380;28;6;66;63988
3390;27;6;67;61584
3400;29;6;65;64717
3410;28;6;66;63142
3420;28;6;66;62630
3430;29;6;65;64354
3440;28;6;67;62715
3450;28;6;66;62760
3460;29;6;65;64384
3470;30;6;64;66071
3480;30;6;64;65810
3490;30;6;64;66690
3500;29;6;64;67173
3510;29;6;65;63783
3520;29;6;65;64358
3530;29;6;65;64841
3540;30;6;64;66345
3550;29;6;65;64583
3560;29;6;65;65665
3570;29;6;65;65154
3580;28;6;66;63936
3590;28;6;66;63784
3600;29;6;65;65939
3610;29;6;65;65395
3620;29;6;64;66409
3630;28;6;66;64262
3640;7;2;91;18380
3670;0;0;99;2497
3850;1;0;99;2089
4030;0;0;99;3637
