duration in sec;user;system;idle;context switch
10;1;0;99;3
50;1;0;99;3863
60;11;3;87;30379
70;25;6;69;60298
80;24;6;70;55895
90;23;6;71;56085
100;25;6;69;63172
110;26;6;67;62462
120;25;6;68;61183
130;25;6;69;61229
140;25;6;69;60941
150;26;6;68;61456
160;27;7;66;60986
170;25;6;69;59892
180;25;6;69;61576
190;26;6;68;62099
200;26;6;68;61520
210;25;6;69;61184
220;25;6;69;60477
230;24;6;70;61677
240;24;6;70;59387
250;25;6;69;61625
260;25;6;69;60818
270;25;6;69;61258
280;24;6;70;61928
290;25;6;69;60734
300;25;6;69;61257
310;25;6;69;60218
320;26;6;68;60999
330;25;6;69;60749
340;25;6;69;61830
350;25;6;70;61366
360;25;6;69;60774
370;26;6;68;60743
380;25;6;69;59132
390;26;6;68;61289
400;25;6;69;61598
410;25;6;69;61943
420;26;6;68;61275
430;25;6;69;60660
440;25;6;69;60691
450;25;6;69;59225
460;26;6;67;61217
470;25;6;69;60606
480;25;6;69;61115
490;25;6;69;61310
500;25;6;69;60772
510;25;6;69;61128
520;25;6;69;58063
530;25;6;68;60549
540;25;6;69;61328
550;25;6;69;60946
560;25;6;68;60625
570;26;6;68;61073
580;25;6;69;61695
590;24;6;70;59823
600;25;6;69;60483
610;25;6;69;61062
620;26;6;68;61422
630;25;6;69;60587
640;26;6;68;60356
650;25;6;69;59970
660;25;6;69;61132
670;25;6;69;59642
680;25;6;69;61138
690;25;6;70;61009
700;25;6;69;60636
710;26;6;68;61063
720;25;6;68;61627
730;25;6;68;60363
740;24;6;70;60381
750;25;6;69;60060
760;25;6;69;59446
770;23;6;71;59373
780;24;6;70;59121
790;25;6;69;59683
800;24;6;70;58723
810;24;6;70;57988
820;24;6;71;58326
830;24;6;70;59625
840;24;6;70;58952
850;24;6;70;59980
860;24;6;70;60007
870;24;6;70;59479
880;23;6;71;59784
890;24;6;70;58945
900;24;6;70;58417
910;24;6;70;58807
920;24;6;70;59617
930;24;6;71;59309
940;24;6;70;59774
950;24;6;70;59776
960;23;6;71;57855
970;25;6;70;59437
980;24;6;70;59819
990;24;6;71;59451
1000;24;6;70;59673
1010;24;6;70;59414
1020;24;6;70;58555
1030;24;6;70;59200
1040;23;6;72;57360
1050;24;6;70;59484
1060;24;6;70;59638
1070;24;6;70;59679
1080;24;6;70;58718
1090;24;6;70;59492
1100;25;6;69;60009
1110;23;6;71;58149
1120;24;6;70;59333
1130;24;6;70;59755
1140;24;6;70;60279
1150;24;6;70;60262
1160;23;6;71;58908
1170;24;6;70;58953
1180;24;6;70;59275
1190;23;6;71;57502
1200;25;6;69;59400
1210;24;6;70;59877
1220;24;6;70;60088
1230;24;6;70;59170
1240;25;6;69;59160
1250;25;6;69;59601
1260;23;6;71;57897
1270;25;6;69;59810
1280;25;6;70;59230
1290;25;6;70;58766
1300;24;6;70;59597
1310;24;6;70;59762
1320;25;6;69;58690
1330;24;6;71;59195
1340;23;6;71;57870
1350;24;6;70;59248
1360;25;6;69;59176
1370;23;6;71;58741
1380;23;6;71;59238
1390;25;6;69;59515
1400;24;6;70;59994
1410;24;6;70;57938
1420;25;6;70;59242
1430;25;6;69;59469
1440;25;6;70;59807
1450;26;6;68;59788
1460;24;6;70;59540
1470;24;6;70;59996
1480;24;6;70;57341
1490;26;6;67;61391
1500;26;6;68;61041
1510;26;6;68;61088
1520;25;6;68;61827
1530;26;6;68;60784
1540;24;6;70;61137
1550;26;6;68;59198
1560;25;6;69;60786
1570;25;6;69;61168
1580;26;6;68;60930
1590;26;6;68;60329
1600;25;6;69;60554
1610;25;6;69;61204
1620;26;6;68;60030
1630;25;6;69;60729
1640;25;6;69;61704
1650;26;6;67;60177
1660;25;6;69;60871
1670;25;6;69;60991
1680;25;6;69;60995
1690;25;6;69;57880
1700;25;6;69;60884
1710;26;6;68;60996
1720;26;6;68;60458
1730;25;6;69;61162
1740;25;6;69;60277
1750;26;6;68;59803
1760;25;6;69;59123
1770;25;6;68;60217
1780;26;6;68;60569
1790;25;6;68;61834
1800;25;6;69;60549
1810;26;6;68;61030
1820;26;6;68;60923
1830;24;6;69;58164
1840;25;6;69;60166
1850;26;6;68;61206
1860;25;6;69;61710
1870;25;6;69;60088
1880;23;6;72;54416
1890;23;6;71;55523
1900;25;6;69;58988
1910;25;6;69;60234
1920;25;6;69;60523
1930;24;6;70;60865
1940;26;6;68;61126
1950;25;6;69;60311
1960;26;7;67;60213
1970;25;6;69;57769
1980;26;6;68;60871
1990;25;6;69;61515
2000;25;6;69;61881
2010;25;6;69;59990
2020;25;6;68;61179
2030;25;6;69;62074
2040;25;6;69;59208
2050;25;6;69;61190
2060;26;6;68;60691
2070;26;6;68;60204
2080;26;6;68;61092
2090;25;6;69;59807
2100;25;6;69;58975
2110;25;6;69;59860
2120;26;6;68;60929
2130;25;6;68;61246
2140;26;6;67;60608
2150;26;6;68;61258
2160;26;6;68;60579
2170;25;6;70;59958
2180;26;6;68;61832
2190;25;6;69;60013
2200;26;6;68;61005
2210;25;6;69;59947
2220;26;6;68;60470
2230;25;6;69;60695
2240;25;6;69;60275
2250;26;6;68;60449
2260;25;6;68;60613
2270;25;6;68;61379
2280;25;6;69;59985
2290;25;6;69;60831
2300;26;6;68;61655
2310;25;6;69;59471
2320;25;6;69;60961
2330;26;6;68;61292
2340;25;6;69;60017
2350;25;6;69;60420
2360;25;6;69;61023
2370;25;6;69;60786
2380;24;6;70;60216
2390;25;6;69;60847
2400;25;6;69;61058
2410;25;6;69;59479
2420;25;6;69;60533
2430;26;6;68;60066
2440;26;6;68;60607
2450;23;6;72;55288
2460;25;6;69;60566
2470;26;6;68;59833
2480;26;6;68;61477
2490;26;6;68;60103
2500;26;6;68;60287
2510;26;6;68;59285
2520;25;6;69;59863
2530;25;6;69;60999
2540;25;6;70;60338
2550;26;6;68;60646
2560;25;6;69;60929
2570;26;6;67;61537
2580;25;6;69;60854
2590;26;7;68;60900
2600;26;6;68;60995
2610;25;6;68;60396
2620;26;6;67;62009
2630;25;6;68;60607
2640;26;6;67;61505
2650;24;6;69;60337
2660;26;6;68;61897
2670;26;6;68;61188
2680;26;6;68;61146
2690;26;6;68;61167
2700;26;6;68;60680
2710;26;6;68;61255
2720;26;6;68;59760
2730;26;6;68;61034
2740;26;6;67;61026
2750;26;6;68;60606
2760;26;6;68;60699
2770;26;6;68;61396
2780;25;6;69;61574
2790;26;6;68;59213
2800;26;6;68;61369
2810;25;6;69;62235
2820;26;6;68;60657
2830;25;6;69;61010
2840;25;6;69;62279
2850;26;6;67;62342
2860;25;6;69;59950
2870;26;6;68;61116
2880;26;6;68;61470
2890;26;6;67;61244
2900;26;6;68;61389
2910;26;6;68;61272
2920;26;6;68;60956
2930;25;6;69;60599
2940;25;6;69;60672
2950;26;6;67;60500
2960;25;6;69;61281
2970;26;6;67;61387
2980;26;6;68;60959
2990;26;6;68;60828
3000;24;6;70;59258
3010;27;6;67;61754
3020;25;6;68;61817
