duration in sec;user;system;idle;context switch
10;0;0;99;4
50;2;1;97;14809
60;20;4;76;45686
70;9;6;85;67717
80;9;6;85;67570
90;10;6;84;69021
100;9;6;84;68160
110;9;6;85;67459
120;9;6;85;67885
130;9;6;85;66544
140;9;6;85;66384
150;9;6;85;67105
160;9;6;85;65525
170;9;6;85;66641
180;9;6;85;66961
190;9;6;85;67089
200;9;6;85;66300
210;9;6;85;67145
220;9;6;85;65019
230;9;6;85;67085
240;9;6;85;66913
250;9;6;85;67073
260;9;6;85;66648
270;9;6;85;67628
280;9;6;85;67199
290;9;6;85;65640
300;9;6;85;66460
310;9;6;85;67067
320;9;6;85;67410
330;9;6;85;67149
340;9;6;85;67729
350;8;5;87;60147
360;8;5;87;59919
370;9;6;85;64687
380;9;6;85;67501
390;9;6;85;67338
400;9;6;85;67711
410;9;6;85;67074
420;9;7;84;65211
430;9;6;85;66482
440;9;6;85;66310
450;9;6;85;67410
460;9;6;85;66935
470;9;6;85;66249
480;9;6;85;65110
490;9;6;85;67089
500;9;6;85;66926
510;9;6;85;66575
520;9;6;85;67606
530;9;6;85;66388
540;9;6;85;66531
550;9;6;86;64244
560;9;6;85;66328
570;9;6;85;66498
580;9;6;85;67338
590;9;6;85;66673
600;9;6;85;67133
610;9;6;86;64669
620;9;6;85;66794
630;9;6;85;65919
640;9;6;86;65725
650;9;6;85;66736
660;9;6;85;66095
670;9;6;85;67316
680;9;6;86;64591
690;9;6;85;66997
700;9;6;85;66976
710;9;6;86;64916
720;9;6;85;66549
730;9;6;85;66435
740;9;6;86;65203
750;9;6;85;66791
760;9;6;85;67604
770;9;6;85;66813
780;9;6;85;66972
790;9;6;85;66539
800;9;6;85;66088
810;9;6;85;64316
820;8;5;86;63463
830;9;6;86;64875
840;9;6;86;63614
850;9;6;86;64615
860;8;6;86;63866
870;8;6;86;63376
880;9;6;86;64838
890;8;6;86;64088
900;9;6;86;63964
910;8;6;86;63609
920;9;6;86;65029
930;9;6;86;63992
940;8;6;86;62896
950;9;6;86;65289
960;8;6;86;64530
970;9;6;86;64052
980;9;6;86;65034
990;8;6;86;63703
1000;9;6;86;65098
1010;9;6;86;63324
1020;8;6;86;64093
1030;8;6;86;64234
1040;9;6;86;64730
1050;9;6;86;65112
1060;9;6;86;64474
1070;8;6;86;64568
1080;8;5;86;62305
1090;9;6;85;64990
1100;8;6;86;64154
1110;9;6;86;64614
1120;9;6;86;64423
1130;8;6;86;64715
1140;9;6;86;64664
1150;8;5;86;62476
1160;9;6;86;64531
1170;9;6;85;64830
1180;9;6;86;65091
1190;9;6;85;64595
1200;9;6;85;64985
1210;9;6;86;64389
1220;9;6;86;63093
1230;9;6;85;64847
1240;9;6;86;64385
1250;9;6;85;64497
1260;9;6;85;65045
1270;9;6;86;63958
1280;8;6;86;62836
1290;8;5;86;62566
1300;9;6;86;63086
1310;8;5;86;61359
1320;8;5;86;60083
1330;8;6;86;63034
1340;9;6;86;62962
1350;8;5;86;62055
1360;9;6;85;65153
1370;8;6;86;63542
1380;9;6;86;63202
1390;9;6;86;62906
1400;8;6;86;62706
1410;9;6;86;63972
1420;8;5;86;62450
1430;9;6;86;63129
1440;9;6;86;63798
1450;9;6;86;63736
1460;8;5;86;61964
1470;9;6;86;62909
1480;8;6;86;62393
1490;8;6;86;62413
1500;9;6;86;63282
1510;9;6;86;64010
1520;8;5;86;62390
1530;9;5;86;62487
1540;8;5;86;62009
1550;8;6;86;62376
1560;9;5;86;63806
1570;9;5;86;63258
1580;9;6;86;64376
1590;9;6;86;65162
1600;8;6;86;62773
1610;8;6;86;63898
1620;8;5;86;61562
1630;8;6;86;62545
1640;8;5;86;63269
1650;8;5;86;61518
1660;8;6;86;63696
1670;8;5;86;62672
1680;9;6;86;63381
1690;8;5;86;61345
1700;8;5;86;62470
1710;9;6;85;64059
1720;8;6;86;63482
1730;9;5;86;62584
1740;8;6;86;63962
1750;8;5;86;61839
1760;8;5;86;62594
1770;8;5;86;62935
1780;9;6;86;62934
1790;9;5;86;62772
1800;8;6;86;62542
1810;8;5;86;62597
1820;8;5;87;61034
1830;8;5;86;63163
1840;8;5;86;63213
1850;8;5;86;62947
1860;8;5;86;61817
1870;8;6;86;63025
1880;8;5;86;62303
1890;8;5;87;60407
1900;8;5;86;63840
1910;8;5;86;62184
1920;8;5;86;62672
1930;8;6;86;63807
1940;8;5;86;62417
1950;9;6;86;63729
1960;8;5;86;62324
1970;8;6;86;62763
1980;8;6;86;63149
1990;8;5;86;62604
2000;8;5;86;63283
2010;8;5;86;62812
2020;8;5;86;61818
2030;8;6;86;62096
2040;8;6;86;63296
2050;8;6;86;63724
2060;8;5;86;62657
2070;9;6;86;63731
2080;9;6;86;63758
2090;8;5;87;59796
2100;9;5;86;62999
2110;8;6;86;61766
2120;8;6;86;63046
2130;8;5;86;62225
2140;8;6;86;63162
2150;8;5;87;58563
2160;7;5;88;54460
2170;8;5;86;62047
2180;8;5;87;60225
2190;8;6;86;63121
2200;9;5;86;62439
2210;8;5;86;63316
2220;9;6;85;63536
2230;8;5;86;61421
2240;8;6;86;64155
2250;9;6;86;63126
2260;9;5;86;63569
2270;8;5;86;62759
2280;9;5;86;63382
2290;8;5;86;63189
2300;8;5;87;60104
2310;8;5;86;62184
2320;9;6;86;64275
2330;8;6;86;62871
2340;8;5;86;62892
2350;8;5;86;62709
2360;8;5;87;61047
2370;8;6;86;62210
2380;9;6;86;64197
2390;8;6;86;63186
2400;8;5;86;62133
2410;9;6;86;63791
2420;9;6;86;63909
2430;8;5;86;60646
2440;8;5;86;62290
2450;9;6;86;64020
2460;8;5;86;61501
2470;9;6;86;63682
2480;8;6;86;63092
2490;8;6;86;62303
2500;8;5;86;60808
2510;8;6;86;62313
2520;8;6;86;63304
2530;8;6;86;62675
2540;9;6;86;63524
2550;8;5;86;62232
2560;8;6;86;64396
2570;9;6;86;63046
2580;9;6;86;64239
2590;9;6;85;64524
2600;9;6;85;64480
2610;9;6;85;64494
2620;9;6;85;65118
2630;9;6;85;65642
2640;8;6;86;61738
2650;9;6;86;64843
2660;9;6;85;64989
2670;9;6;85;64554
2680;9;6;85;64290
2690;9;6;86;63863
2700;9;6;86;62855
2710;9;6;85;64790
2720;9;6;85;64799
2730;9;6;85;64144
2740;9;6;85;65339
2750;9;6;85;64968
2760;9;6;86;64085
2770;9;6;86;63404
2780;9;6;86;65159
2790;9;6;85;64055
2800;9;6;85;64918
2810;9;6;86;62882
2820;9;6;85;64647
2830;9;6;85;65279
2840;9;6;86;62750
2850;9;6;85;64642
2860;9;6;85;64897
2870;9;6;85;65058
2880;9;6;85;64352
2890;9;6;86;64141
2900;9;6;86;64644
2910;9;6;86;62577
2920;9;6;85;64298
2930;9;6;86;63197
2940;9;6;85;64643
2950;9;6;86;64644
2960;9;6;85;64678
2970;9;6;86;62660
2980;9;6;86;64754
2990;9;6;85;64902
3000;9;6;86;64566
3010;9;6;86;64703
3020;9;6;86;64325
3030;9;6;86;64035
3040;9;6;86;62940
3050;9;6;85;65061
3060;9;6;85;65126
3070;9;6;86;64420
3080;9;6;86;64768
3090;9;6;86;64727
3100;9;6;86;64295
3110;8;5;86;62878
3120;8;6;86;64055
3130;9;6;86;63214
3140;9;6;86;63980
3150;9;6;85;64795
3160;9;6;86;64071
3170;9;6;86;64680
3180;9;6;86;62966
3190;9;6;86;65313
3200;8;6;86;64150
3210;8;5;86;62605
3220;9;6;86;64063
3230;9;6;86;64136
3240;9;6;86;64429
3250;9;6;86;63464
3260;9;6;86;65132
3270;9;6;86;64278
3280;9;6;86;65810
3290;9;6;86;64540
3300;9;6;86;65429
3310;8;6;86;64063
3320;8;6;86;63481
3330;9;6;85;64827
3340;9;6;86;65036
3350;9;6;86;64050
3360;9;6;86;64025
3370;9;6;86;64675
3380;8;6;86;64050
3390;9;6;85;64539
3400;9;6;86;64032
3410;9;6;86;64646
3420;9;6;86;63579
3430;9;5;86;63009
3440;9;6;86;65164
3450;8;5;86;62789
3460;9;6;86;64668
3470;9;6;86;64568
3480;8;6;86;64664
3490;9;6;86;64854
3500;9;6;86;65320
3510;9;6;85;65533
3520;8;5;86;62923
3530;8;6;86;63554
3540;8;5;86;62407
3550;8;5;86;61887
3560;8;5;86;62883
3570;8;5;86;63350
3580;8;6;86;63192
3590;8;5;87;59953
3600;8;5;86;62005
3610;8;6;86;62888
3620;8;5;86;62105
3630;8;5;86;62816
3640;8;5;86;61764
3650;7;5;88;53371
3660;1;0;99;5232
3690;0;0;99;2856
3870;1;0;99;1243
4020;1;1;98;2992
4050;0;0;99;2106
4410;1;0;99;1338
4590;0;0;99;1263
