Linux 2.6.32-358.11.1.el6.centos.plus.x86_64 (libon-stress-nosql3) 	11/05/2014 	_x86_64_	(12 CPU)

11/05/2014 22:03:53
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,54         0,00         0,05        338      35417
sda               0,01         0,00         0,00          3        383
dm-0              0,01         0,00         0,00         29         12
dm-1              0,16         0,00         0,00          6        424
dm-2              0,69         0,00         0,00          0       1872
dm-3             12,08         0,00         0,05        154      32934
dm-4              0,00         0,00         0,00          0          0
dm-5              0,01         0,00         0,00        128         10
dm-6              0,06         0,00         0,00         12        163
dm-7              0,00         0,00         0,00          0          0

11/05/2014 22:04:03
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               3,50         0,00         0,02          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,30         0,00         0,00          0          0
dm-1              0,00         0,00         0,00          0          0
dm-2              1,10         0,00         0,00          0          0
dm-3              3,10         0,00         0,01          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,50         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

11/05/2014 22:04:13
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,80         0,00         0,07          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,80         0,00         0,00          0          0
dm-2              0,30         0,00         0,00          0          0
dm-3             16,60         0,00         0,06          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

11/05/2014 22:04:23
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,20         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,70         0,00         0,01          0          0
dm-3              0,30         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

11/05/2014 22:04:33
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,70         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,00         0,00         0,00          0          0
dm-2              1,30         0,00         0,01          0          0
dm-3              2,20         0,00         0,01          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

11/05/2014 22:04:43
